"Bike Lanes"
"Improve public safety"
"stay outta our business"
"Fix something,  anything. Do one thing you promised."
"underground telephone lines"
"Pedestrian Only Downtown"
"Renovate Thomas Wolfe Auditorium"
"Pit of Despair: Its time."
"LGBTQ community center"
"clean up RAD"
"McCormick field upgrades"
"Focus on reversing the tourism debacle"
"fund abortions"
"Work together"
"Improve schools"
"Workforce housing"
Sidewalks
"Build more parks and libraries"
"Parking deck for First Baptist/YMCA project"
"Cash for guns"
"Free trolley downtown, RAD, Biltmore Village"
"Ban styrofoam"
"Make water cheaper for residents"
"Ban new hotels"
"Kudzu clean up"
"Rent Control and Landlord Training"
"Fix Merrimon"
"Reduce cost of living"
"More things to help the homeless and mental health services for the unemployed/under and non insured"
"go green"
"Remodel libraries"
"Put back Vance Monument"
"Reduce crime, increase walkability/bikeability"
"Free parking for downtown employees"
"support local police"
"Sidewalks especially on Swannanoa River Road"
"Parking is west Asheville"
"Help those who are addicted"
"Clean up"
"Stop virtue signaling & actually do good, honest, considered, empathetic, smart work."
"Sidewalks fixed in Biltmore Village"
"Increase police salary"
"Get rid of all cars within half a mile of downtown. Make it pedestrian traffic only"
"Parking and Crosswals on Broadway - Midblock - Eliminate diagonal parking."
"End price gouging"
Greenways,
"expand bus system and do an audit of the safety of the placement of all the existing stops (rock hill/edgewood is super dangerous, should be at the corner)"
"More bathrooms for homeless"
"More safe places to bike"
"Wilma Dykeman Bike path"
"Build deeply affordable housing for historic, local residents"
"Help those addicted"
"New crosswalk from Luellas to greenway on merrimon"
"Amtrak station"
"Prevent more apartments being built"
"Restorative Justice"
"Industrial compost"
"Get rid of single family zoning and allow duplexes, triplexes and quadriplexes by right"
"Hand out free little cigarette-butt containers on a chain to wear around your neck"
"Male strip clubs"
"Street lights"
"Step down from office"
"Extend public transportation routes"
"Clean up the banks along the Swannanoa River in  Biltmore"
"decrease budget annaully"
"More Sidewalks"
"better pay for educators"
"Replace monument in Pack Square"
"Investment in Youth Sports Leagues / complexes"
"More infrastructure for pedestrians and cyclists, multi-modal opportunites expanding"
"Widen 191 from the Arboretum South"
"Evict HCA"
"Roller Skating Rink"
"Reparations for BIPOC people"
"More funding for our transit system so more people can ride the bus with a frequent shuttle system into downtown to/from neighborhoods"
"make city more safe"
"remove homeless camps"
"Beautification of streets and sidewalks"
"More Public Transportation"
"Bike Lanes in Swannanoa"
"More Community Gardens"
"Put money from tourism taxes into city infrastructure"
"Widen roads"
"Take care of homeless folks"
"Provide housing and mental health services for the unhoused"
"Upgrade every city park and cut the grass regularly downtown"
"Playground Downtown"
"Shopping cart fines for stores they belong too"
"Lower property taxes for elders"
"Safer walking and biking"
"Public indoor pool in north Asheville"
"Better building codes"
"Improve the traffic"
"Patch all potholes"
"Protect trans kids"
"Establish a BID"
"Busking support"
"Improve park across from civic center"
"renew pack square"
"Less Crime"
"Pull it together"
"Less Drugs"
"Light Rail"
"Fund public schools"
"Increase childcare"
"Overlook Park"
"Spend less on the homeless and more on police & clean up"
"rebuild Malvern Hills Pool"
"Pay employees better"
"More police downtown"
"Reduce homeless"
"Rebuild Vance Monument"
"Get rid of the bums, panhandlers"
"Help end homelessness"
"Lower taxes"
"Contiguous bike path"
"Better roads"
"low income housing"
"Sidewalks everywhere"
"Spivey mountain park, more and better sidewalks, build for the locals not the money bags moving into town"
"Address the houseless population by helping them and providing resources"
"Paving Biltmore Ave"
"Lobby for more changes in occupancy tax"
"Get a new mayor and get rid of the liberal ways and  attitudes"
"Control rent for artists getting priced out of the river arts district"
"Make more sidewalks"
"Spend TDA money on something useful"
"More housing, more public transit"
"Remember that they are public"
"Ceasefire resolution"
"Protect small, interesting schools"
"Invest more in infrastructure"
"Sign a Ceasefire declaration for Israel’s attack on Palestine"
"Help addiction"
"Symphony Hall"
"Decrease state taxes"
"Tear down the civic center"
"Curb development"
"Infrastructure repair- roads and sidewalks"
"Repave roads / fill potholes"
"Get rid of HCA once and for all; Mission is horrible"
"Civic center"
"BUILD A STATE OF THE ART THEATER IN ASHEVILLE!"
"improve wheelchair accessibility city wide"
"make asheville more walking friendly, block off streets to cars, more public transportation, public use ebikes and scooters"
"Be fair"
"Expand greenways"
"We need a true beltway around Asheville"
"enforce airbnb restrictions"
"offer more rental space downtown for pensioners at a very reasonable price, so that they can have places to walk to and to socialize."
"Bring this burg into the future- because it is here."
"Vegan education community outreach"
"Build something  for kids to enjoy. Pool, amusement park. Something"
"Deaverview mountain park"
"Raze Thomas Wolfe Auditorium and build a new performing arts"
"fire the the zoning board"
"control growth"
"signage in River Arts District"
"A combination of reducing car traffic and increase public transportation"
"Make Downtown a walking City - No cars"
"Be more responsible, less progressive."
"Less development. Quit destroying this area."
"Cut property taxes"
"Local trains"
"Greenway in Swannanoa"
"Afffordable Housing"
"Remove the plinth at the base of the removed Vance monument"
"bike   pedestrian-friendly efforts"
"Build a park across from the Basilica"
"toilets and showers downtown for street people"
"Fix and open Malvern Hills Pool"
"Keep Adding more greenway/bike paths"
"Put more money into infrastructure"
"Sidewalks in Swannanoa"
"use tax money for non evil"
"Living wage"
"make city more walkable"
"more green space downtown"
"Walkable City"
"Get rid of steady collective"
"more homeless and affordable housing, fewer short-term rentals"
"support fire and police exclusively"
"Pay teachers more"
"Business Improvement District"
"Improve Recycling Services and Public Restrooms"
"Constructive solution for homeless and panhandlers trashing the city and county"
"Maintain Wolfe Plaza Block"
"Bike lane on Riceville Rd"
"more street lights"
"Interconnect greenways"
"Finish more Greenways"
"Make Asheville more walkable"
"provide more and better low income housing"
"Vote by mail"
"Large parks and rec, large museum for kids, things for local families to enjoy."
"Repurpose Monument downtown"
"Stop the TDA"
"train to charlotte or raleigh, train to the airport"
"Clean up French broad river"
"Sidewalks on Hazel Mill Rd."
"Madison Alexander’s Rimrock Reentry project"
"Scupture honoring Karen Cragnolin, Wilma Dykeman and Jean Webb"
"Be better"
"Reduce the impact of government"
"Park on sweeten creek road- city to start work and complete"
"Less hotels"
"Not the BID"
"Maybe act like they care even just a little bit about the people that live here"
"Woodfin Sidewalks"
"Clean French Broad"
"Complete bike trails"
"Focus on supporting public schools and keeping schools open"
"More Bicycle and Pedestrian Infrastructure"
"Green Infrastructure"
Lightrail
"Project Aspire"
"Create more pedestrian-only streets"
"Repair potholes!"
"Rewind downtown beginning with Pack Square"
"Fight for the locals"
"Add Bike Lanes!!!"
"Youth Hostel"
"Reduce interaction between humans and Bears and fix trash problem with bears"
"more public restrooms for tourists"
"Increase zoning and building restrictions, and enforce it"
"Malvern hill pool"
"protected bike lanes"
"Asheville history museum"
"Connect the riverwalk to the Nature Center"
"Zoning to reduce cost of housing"
"Concentrate on keeping Asheville safe downtown"
"Train/Metro line"
"Protect from overdevelopment"
"more dense housing options"
"Extend greenway"
"Plan affordable housing"
"Clean the streets"
"Get rid of homeless and crime"
"reign in short term rentals"
"Solve the recent upswing in crime on Tunnel Rd"
"supporting small businesses with fair leasing regulations"
"Support toplessness and deshamifying sexuality"
"Finish the Greenway Master Plan! Start and Finish AVL Unpaved! More ROAD DIETS for bicycle connectivity and safer driving / riding / walking"
"Put in sidewalks on New Haw Creek!"
"House the homeless"
"Connect all greenways and bike lanes"
"Increase parking"
"Performing arts center"
"More infill development"
"parking five minutes away with a free shuttle"
"To recognize and support the less fortunate displaced locals especially for mental health and substance abuse by treating the root cause. Clean up the litter absolutely everywhere"
"Improve our mental health services"
"Get common sense"
"complete the swannanoa river greenway"
"All-out effort for trash/butt-free Asheville, including city streets and roadways"
"Sidewalk on Lakeshore drive"
"Housing for unhoused folks"
"Preserve Tree Canopy and Nature"
"Housing for homeless"
"Clean up the downtown. Fix the sidewalks (and the roads).  More parking!"
"Take care of the homeless"
"greenway connection"
"Pedestrian areas downtown"
"urban mountain bike trails"
"help the homeless"
"Accessibility, Affordability, Housing, Health Services"
"Get rid of homeless and busking."
"Get serious about street vagrants"
"clean up downtown"
"Affordable housing, bike infrastructure, transit connecting from surrounding areas, fund the libraries"
"assist the homeless-affordable housing"
"Outlaw Panhandling"
"The rampant drug problem that contributes to the homeless problem"
"Reduce panhandling"
"Stop panhandling"
"eliminate panhandling"
"Support for mental health for homeless"
"Absolutely no business improvement district :)"
"Fix the infrastructure (roads, bridges)"
"Skate Park"
"More solar"
"Better zoning laws enforced"
"fund reparations"
"Clean up reems creek after hurricane"
"Parks and riverfront improvement."
"Rebuild Small Businesses"
"Replace the Vance Monument"
"Act to stop rent price hikes and assist the homeless"
"Create flood plains in RAD"
"Increase infill / density"
"Make a park in the RAD"
"Protect UNCA Forest"
"Reduce houselessness"
"Indoor skating rink"
"Improve storm drainage"
"fix sidewalks on Lexington Ave."
"Post office for Woodfin"
"Haywood Road sidewalk safety project - eliminate excessive curb cuts"
"knock down developments"
"Rebuild housing lost during hurricane"
"Demolish Thomas Wolfe and build a muti-use Arts Center"
"Pedestrian zone downtown"
"Improve walkability"
"Create an excellent place to rehabilitate and help all unhoused people, particularly with mental challenges."
"Rebuild RAD greenways"
"Save the woods at 5 points"
"Commit to climate resilience"
"Permanent farmers market infrastructure"
"Farther extending greenways"
"AVL Unpaved"
"Rebuild the River Arts District"
"Incorporate as much green space as possible"
"Bring back Moogfest (or similar AVL relevant music festival)"
"Get rid of the city council"
"Rebuild carrier park"
"Plant trees"
"keep the side of the roads clean"
"Address transient/unhoused population increase"
"Program for unhoused"
"Improve and build new sidewalks"
"Address homelessness"
"Clean up homlessness"
"Fix infrastructure and make downtown look nicer"
"help homeless people - clean up the streets"
"Protect immigrant rights"
"Permanent affordable housing"
"Convert some downtown streets to pedestrian only zones"
"lower the cost of living"
"Bury electrical lines to limit power outages"
"Rebuild French Broad River Park"
"Finish more Greenways and Parks"
"Children’s museum"
"Regulation of flood plains and slopes"
"Sidewalks Swannanoa"
"remove graffiti from downtown"
"Adress crime!"
"PAVE THE DOWNTOWN STREETS!!!"
"Owen Park restoration"
Greenspace
"Secure low income housing"
"Solar Power"
"Fix the i26 connector project - disgusting at states latest plan"
"Fix Water System"
"New performing arts center"
Self-abolish
"Paved trails"
"Sidewalks on Riceville"
"fix the streets"
"Remove the BID"
"Cap types of houses being built (way too big) and where"
"Relocation of river arts district to baseball stadium"
"Fully fund our public schools"
"Better parking/walking access to downtown"
"Get rid of the traffic calming, dangerous concrete barriers on Kimberly and Murdock and the bike lanes on Merrimon"
"New Monument (where Vance was)"
"Stop approving more big buildings that are destroying the forest and mountains. It's ugly and erosion happens"
"Improve roads/streets, paving and lighting"
"provide free trees to help replace what Helene destroyed"
"Beautify the trail in the RAD"
"Rails to trails-"
"Food pantry"
"Stop sign for Starnes cove rd & pm old Haywood"
"Finish roads"
"control flooding in Biltmore Village from Swannanoa"
"Build affordable housing for our local community, and help to fund it!"
"Fix side walks downtown"
Care
"restore, improve riverfront of Swannanoa and French Broad"
"Free interneto"
"Fix something, anything. Do one thing you promised."
"more recycling"
"deforestation restrictions on developers"
"Decrease hotel build approvals"
"sidewalks in swannanoa, especially down hwy 70 and old 70"
"Build a new performing arts center"
"Close off the wagon dueling piano bar"
"Restoration of RAD"
"sculpture park"
"restore River Arts District"
"Memorial Garden or Park in RAD, preferably where the 1 story warehouse across from Art Garden"
MoogFest
"new parks"
"Improve walkability / bike friendliness"
"Take care of the residents rather than the tourists."
"Improve and expand green spaces"
"Restore river arts"
"Kill the TDA"
"Huge park and green space in River arts"
"Affordable housing, bike infrastructure, transit connecting from surrounding areas"
"Build greenways near the river-replant trees along RAD"
"Support Businesses Better"
"approve Costco"
"Cheaper Housing for Residents"
"Remove bike lanes on Merrimon"
"Road planning and building of new roads"
"divest from police, support houseless community, reparations, invest in arts"
"reduce rent"
"Support local businesses"
"murals downtown"
"Restore French Broad River Park and greenway"
"Clean up trash and fix sidewalks"
"Not gentrify"
"secure funding for Helene recovery"
"Conservation easement for UNCA Woods"
"Senior affordable housing"
"Put UNCA woods into conservatorhip"
"complete water repairs"
"We need to diversify our economy."
"stop gentrification"
"Create a social district like CLT has - full of local stores and artists to revitalize after helene"
"Safe Passage Project"
"riverfront amphitheater"
Homeless
"Leave the trees alone"
"Build Boys and Girls Club for Asheville"
"Improve walkability and public transit"
REFORESTATION
"law enforcement"
"Get parks cleaned up and reopened"
"More native plants instead of grass"
"turning lanes better signage"
"Pick up every tourist that moved here and flick them across the map into a different continent :)"
"Invest in infrastructure"
"fight TRUMP"
"Complete Streets"
"Fentanyl crisis needs addressing"
"Ice skating rink"
"build flood walls"
"restore the riverside greenways as quickly as possible"
"lower residential rent and raise incomes"
"Ordinance to Stop the LOUD Mufflers on Cars & Motorcycles, & reving up of engines"
"More sidewalks, better bus routes, less cars"
"Return Vance Monument"
"Fix the water system"
"Improve infrastructure to match population growth"
"Something for young adults to do when it’s cold/rainy aka something like the Group Therapy Bar & Playground in Greenville"
"Biltmore Village rebuilt"
"Pay me more"
"Medical, mental/emotional care & housing for veterans"
"More Helene recovery efforts in outlying community"
"Clean up from hurricane"
"Improve roads due to heavy traffic"
"Buy the UNCA Woods and preserve it"
"Subsidize housing"
"Sidewalks and bike trails"
"Stop developers"
"Stop using chemical herbicides and ban them from being sold"
"stipends for victims of helene"
"Actually fix the roads I-26"
"work on economic diversity"
"Build something for kids to enjoy. Pool, amusement park. Something"
"give bears contraceptives"
"Build wildlife crossings"
"create affordable space for artists and arts organizations"
"Add sidewalks down old 70 and a cross walk near the VRQ area or any other multi lane areas that people cross, that are unsafe with continued pedestrian accidents."
"Upgrade water system reliability"
"Stump removal"
"Reopen parks"
"Remove homeless from the streets solely because they litter and urinate/defecate everywhere and it’s unsettling."
"more trash clean up and focus on green spaces after Hurricane Helene"
"stop the patton ave highway project"
"Build more housing"
"Hire an energetic visionary city manager"
"fun place for teenagers- video games, dance room--- free, like a park for kids"
"Resilience planning"
"Improve Recycling"
"Improve schools and teacher pay"
"Bear proof/resistant trash cans for all. Its time."
"Work to bring down housing costs"
"Fix the sidewalks in downtown Asheville"
"support service workers"
"Re-paint center lines on all roadways"
"Free Lunch program"
"Public space improvement"
"Picnic benches"
"free tram"
"Oust Mayor Manheimer"
"More bike lanes and sidewalks for safer roads"
"Stop adding hotels and allowing more air bnbs."
"put in sidewalks in East Asheville! (especially Bull Mountain road!)"
Homes
"Rebuild parks and playgrounds"
"support small businesses"
"Put moratorium on rent price increases"
"Reroute 26"
"Keep Adding more parks/fields/greenway/bike paths"
"More transportation options other than cars! Walkable neighborhoods, bike lanes, more public transit"
"Garbage pickup"
"Look out for struggling folks not just profit"
"Build more sidewalks"
"wildlife corridor"
"Support the arts through expanded grants"
"hazard mitigation to protect entire river floodplain"
"Change the way tourism taxes are spent"
"Build affordable housing"
