Hotels
"Water system failure"
"Destruction of hill by 240 to build a Subaru dealership"
"Crime, increase in homeless"
"Loss of Magnetic Theater"
"Short Term Rentals"
"BID Proposal"
"Loss of Magnetic Theatre"
"Too many bike lanes for no bikers"
"unaffordable housing"
"excessive apartment building and higher rents"
"unhoused people on the streets downtown"
"Over building on Pond Road"
"Cramming in New Crappy Houses in Old neighborhoods"
"Local corruption"
"Hiring more cops"
"Skyline News - Chad Nesbitt"
"Tourist and moveins make homelessness worse"
"Scarlet Bee Closed Their Food Truck"
Popularity
"Loss of Tourists and crime rate"
"people from florida"
Modernization
"Rules about air bnbs"
"People moving here and destruction of habitats for wildlife. Filthy litter everywhere that NEVER used to be here!"
"Hardly any snow"
"So many people"
"Good Fish Vandilized"
"Doug Cegelis not going to prison for theft.. AGAIN!"
Floridians
"People won’t stop moving here"
"Drug addicts under the bridge"
"New apartment construction"
"People taking bear cubs out of trees"
"homeless situation and no tourists"
"City Council & Explosion of drug related homelessness"
"more gentrification and fewer more affordable places to live"
"Unaffordable housing for natives"
"Defunding police- shipping in homeless"
"too many hotels and upscale apartments AND  no provisions for affordable housing"
"homelessness, and the insane cost of living."
"Helene, FEMA misinformation"
"Cucina 24 chef dying"
Flooding
"Hurricane Helene"
Trump
"UNCA wanting to develop the woods in 5 points"
Hurricane
"UNCA program eliminations"
"UNCA Van Noort plan to destroy the woods"
Flood
Floods
"The Flood"
"Swannanoa & the hurricane"
"Hurricane Helene of course"
"Tree destruction from Helene"
"Brian Good"
"Helene, lack of FEMA support"
"Hurricane Hellene"
"Helene (Tropical Storm Helene, Hurricane Helene, hurricane Helene, helene, flooding, flood)"
Helene
"Hurricane Helene's destruction"
"Biltmore Village destruction"
"Helene communication"
"Losses in river Arts District"
"Drones for police"
"Grief from storm"
"Losing water"
"Helene unpreparedness"
"APD's drone program"
"Tropical Storm Helene"
"Merrimon Avenue re-design"
"Misinformation from Helene"
"Lack of support for the unhoused"
"The closing of ELDR"
"Trump elected (loss of Federal dollars)"
"those 2 days of rain before the hurricane"
"Looting and crime in the aftermath of Hurricane Helene"
"Environmental impact from Helene"
"buying into the surveillance military police city vibes (we're getting a cop city and upping our real-time surveillance)"
"Donald Trump"
"Declining beer tourism (after Helene)"
"People coming together post Helene"
"Helene obviously"
"Asheville Yards"
"Hurricane Helenr"
"another hotel"
"Ted Budd"
"donald trump's pointless visits"
"Helene :("
"That HCA still owns Mission"
Helene!
"Over building"
"Hurricane flooding"
"Business improvement district implementation"
"Helene... and Trump"
"Excess tourism"
"Homeless population and panhandling growth has exploded"
"Salvage Station Closing"
"Asheville Art Museum"
"trash in the river from Helene"
"Overdevelopment of apartments"
"No tourists after Helene"
"Funding the Asheville Tourists"
Hell-ene
"The hurricane, Salvage Station"
"Helene and its environmental impact"
"Over building on Sweeten Creek"
Landslides
"To much building"
"Asheville being unliveable and more families moving out."
"I-40 closure"
"Helene duh"
"Helene (Duh)"
"Helene, Trump"
"Loss of water after Helene"
"Government faliing us after Helene"
"new bike lane on merrimon!!!"
"Hurricane devastation to small businesses"
"Helene (Tropical Storm Helene, Hurricane Helene, hurricane Helene, helene, flooding, flood)wycrst"
"Hurricane Helene showed our environmental frailty."
"Jake Lenderman quitting Wednesday (touring)"
Homeless
"Losing President Biden's support (FEMA, etc.) and compassion"
"debris removal practices"
"Donald Trump came to Asheville"
"Helene flooding!!"
"Esther Manheimer"
"Helene, obviously"
Helene!!!
"Losing her"
