Homelessness
"West Asheville"
"franchise stores - out of town owners"
"Cutting down trees and replacing them with apartments!"
"Tourists, Rich People, Republicans"
"High rise appartments with high cost of living there"
"No affordable housing"
"Too much development"
"Local government decisions impacting the city as a whole (lack of police, addressing homeless, crime, desire to be green and spending millions on city EV busses that failed)"
"Construction in RAD"
"Violence and crime homeless, druggies"
"growth and over development"
"Thinking it's unique!"
"More apartments and hotels"
"national chains"
"Trees being cut down,less canopy"
"Too many Indian food restaurants. They’re all good but please no more!"
"Rent and housing prices"
"Development loss of trees"
Texans
"liberal ideology"
"Crime drugs homelessness"
"City selling out to all the hotel chains"
"Closing schools"
"Lack of bicycle and pedestrian infrastructure"
"New citizens"
"Inflated rent prices"
"Population & building increase"
"Old houses torn down for new development"
"No pedestrian-only streets"
"Rising Rent for Local Artists"
"Development and cost of living plus property taxes doubled last year"
franchises
"parking lots"
Skyscrapers
"Bitching and moaning"
"less tourists visiting compared to the previous last several years due harassment from the homeless and lack of public restrooms"
"Retail Chains"
"The tourism board"
"Lack of a living wage"
"Road Systems  Too much traffic and too many apartments"
"Overpopulation, overdevelopment, loss of Christian values"
Money
"Grove Park Inn"
"The locals"
implants
"Hector Gomez"
"growth and building"
locals
"too many breweries"
"Chain hotels"
"Poor roads"
"Rising housing costs and taxes"
"Chain Stores and hotels"
Tourism/Tourists
"Large Celestial Bodies on a Collision Course for Asheville"
"Town council"
"people moving here from florida"
"ACA / Mission Hospital"
Modernization
"losing focus on locals"
"BIG MONEY,  OUTSIDERS demanding changes when moving here, and APATHY for traditional ways of life and our land our mountains"
"Getting too big without the infrastructure in place to support the growth"
"hotels and tourism growth"
"Huge new apartment buildings in the Arts District - they are so out of place and will totally change the local art vibe there. Very disappointed to see those being built."
"Chains moving into downtown"
"Buildings going up in RAD"
"Crime and mismanagement"
"Unchecked growth and development"
"Continued over marketing of Asheville by the TDA"
"Enititled folks with money"
"Too many people, condos, bars, and breweries"
"City & County Government"
"People from cities buying houses site unseen at way over asking price"
"hotels/high rise apartments that still aren't affordable/no realistically paying jobs for people who grew up here/I'm 41 and moved home and can't afford to move out of my mom's basement :("
"rich assholes"
"Trashiness, homelessness"
Progress
"Out of town real estate developers, Mark Robinson becoming governor"
"Gentrification, the creative being priced out"
Amazon
"Short Term Rental corporations taking away STR opportunities for locals"
"Selling out to the mainstream and not valuing the artists and weirdos that make it so unique"
"hotels and breweries"
"Unaffordable housing, the people that made this place unique can no longer afford to live here."
"Lack of proper planning by government for population increase"
Auti
"New arrivals"
"Drunk tourists visiting too many breweries"
"The rising prices pushing out the artists and lack of care and opportunity for them?"
Floridiots
"Homeless.  New hotels"
"Over developing on the beautiful mountains.   We want to see trees, not houses."
"Rising housing costs"
"Accessibility, Affordability, Housing, Health Services"
"too many tourists; explosive hotel growth"
"Overpriced rent in downtown - running out small businesses"
"Overpriced cost of living"
"Airbnbs, skyrocketing cost of living"
"Unlivable rent prices"
"Hotel developers"
"More hotels and solely catering to tourists. Cost of living"
"Rising cost of living and people moving from out of town"
"rising housing prices!"
"over-building and renovating arts district"
"The type of tourism being solicited"
"Development and overpopulation."
"Homeless taking over and making everything feel unsafe"
"So many hotels"
"Uncontrolled Growth"
"Thinking its unique!"
"Tourism. We need more affordable housing. Not one more hotel."
"Tourism & Motels"
"2nd homes"
"Drugs turning us into portland"
"Lack of good paying jobs and industry, lack of affordable housing"
"Drug use downtown"
"Overbuild and high density development"
"Lack of affordable housing for musicians, artists, and people in the service industry"
"more development"
"CITY POLITICANS"
"Overtaking of homeless population"
"Too many hotels and people from other places"
"Tourists that move here"
"Hotel Growth/Big Businesses Coming In"
"Lack of affordable housing which increases unhoused population"
"big box stores and franchises"
"Pricing locals out of affordable housing"
"prices too expensive"
"Overbuilding doesn't create affordable housing. People will continue to leave unless prices drop. Housing market is ridiculous."
"Hobby for profit real estate buyers"
"cost of living forcing people out"
"Drug addicts"
"Continued over marketing of Asheville by the TDA !!"
"influx of retirees moving here, changing things"
"Rich people moving here and buying all the property"
"Not redeveloping the river arts district and losing its artist community."
"High prices"
"Asheville Yards taking over Rabbit Rabbit"
Helene
Trump
"Threat to UNCA woods"
"UNCA Chancellor Kimberly Van Noort"
"Gated communities"
"Lack of diversity"
over-development
"Outside development"
"rude tourists"
"Natural Disasters"
"Donald Trump"
"Corporate developers"
"tech bros"
"Golf courses"
"Tesla owners"
"Mayor and City Council"
"Gentrification since Helene"
"Charlotte Street development"
"Chandra Bourne"
"Business Improvement District (BID) in Downtown Asheville"
"Independent Small Businesses closing due to Hurricane"
"Lack of zoning adjustments"
"chem trails"
"Insufficient recovery funds for post-helene clean up"
"National chains moving into downtown"
"Interstate in West Asheville"
Flooding
"Microbreweries everywhere"
Costco
"Private equity"
"Neo libs"
"Fair weather residents"
Fascism
"Helene recovery too slow"
"Social media"
"Big conglomerate corporations"
"Decline in population after Helene"
"Rising rent for local artists and small businesses"
Outlets
"Lack of housing"
Weather
"Harrahs Cherokee Center"
"Apartment buildings that look too commercial"
"Big investors stealing the RAD"
"Crime and drugs"
Doge
Hurricanes
Bigots
"Storm debris"
"Big developers"
Affordability
Guns
Junkies
"White people"
Inflation
"Bad roads"
"Demonstrations where trourists are"
"Large scale development"
"Mean people"
Itself
"Overbuilding hotels"
"Boutiques not locally owned are becoming too prominent"
"hard to meet people"
"NCDOT highway planning"
Censorship
"Antique stores"
Taxes
"Helene recovery"
"Developing the Urban Forest at UNCA"
"High rise apartments with high cost of living there"
"Republicans in the State House"
Attitude
"High housing cost"
"Corporate greed"
Landlords
Division
"Lack of high paying jobs in order to be able to afford living here"
Starbucks
"high rise housing construction"
"Amarx Homes"
"Bad Hashtags like #ashevillestrong"
Beggars
"Brian Good"
"Building style homogenization"
Bullies/gossipers
"Catering to tourists"
"Cookie cutter apartment buildings"
"Local government corruption"
"Economic loss due to the tariffs"
"Economic depression"
"Federal government"
Fentynal
"Firestorm Books"
Economy
Hol
home
"Your mom"
"Helene damage"
"Developers after Helene"
Homogeneity
"Housing developments"
"Helene damage to RAD"
"Inadequate support of service industry post Helene"
"Rental prices"
"Insufficient recovery funds for post-Helene clean up - esp. for small businesses"
"Lack of locals supporting local shops"
"Lack of neatness and cleanliness"
"Large single-family home construction"
"Laws that discriminate"
Logging
"Loss of urban canopy/Loss of tree canopy"
"Losing focus on the arts"
lawyers
"Limited housing opportunities"
"Loss of locally owned stores, restaurants, etc"
"Loss of hospitality workforce"
"Helene recovery mismanaged"
"Mega developers post-Helene"
"Not getting tourists back after Helene"
"Not enough tourism"
"Unrestrained capitalism"
Zoomers
"Writing unhelpful and hateful comments against small businesses online"
"Underappreciation of tourist economy"
"Ugly new buildings"
"Low pay jobs"
"Lot clearing"
"Minimum wage is too low"
"New hotels & chain stores being built being prioritized over supporting and expanding local businesses"
Transplants
"Lack of tourists post Helene"
"Out of state landlords"
"People moving downtown and making sound complaints"
Posers
"Post Helene private investment"
"Post-Helene carpetbaggers"
"Post-Helene economic downturn"
"People thinking they have to be weird"
"State government"
"The government"
"Asheville Downtown Improvement District (ADID) ambassadors"
"Asheville water system"
"The rising prices pushing out the artists and lack of care and opportunity for them"
"The old guard preventing it from actually being weird by making everything watered down and tourist friendly"
"Tearing down trees and putting up more unnecessary hotels"
"Slow Helene recovery"
"Local shops closing"
"Lack of safe roads / bicycle lanes"
"squeezing out the eclectic heart of Asheville and the people who made it so"
"Spending more money on tourism than on our local community"
"Summer tourists"
"Rent increases for small businesses"
"real time surveillance, cop city"
