"Community Support"
"cost of living"
"Boycott corporate landlords"
"Completion of Greenway"
"More gardens, hikes, bike trails being added"
"people moving here, but better make it affordable to live and raise wages esp healthcare jobs"
"Support small business"
"Less tourists"
"less taxes on small businesses"
"ban airbnbs"
"start utilizing downtown apartment housing for those that are older and need a reasonably priced place to live, a walkable lifestyle is needed for our elders"
"Reduce cost of living building more affordable housing and make it easier for locals to get by"
"Keeping business small and streets safe"
"Becoming the most bike and pedestrian friendly city in the south"
"Keep investors local & diverse"
"Stop Hotels"
"Limit development"
"Better city planning/zoning and providing more affordable housing"
"investing in land conservation, parks"
"Protecting more land in and around Asheville"
"Pay attention to developers coming in not just anyone that has money but will make old buildings better and work with small businesses that are already here"
Subsidies
"housing for homeless and affordable housing"
"putting a cap on tourism"
"Replace empty stores and malls with mixed-use housing and reparations"
"More walking opportunities"
"Keep it GREEN!"
"revitalize the old buildings"
"Support locals"
"Protection of riverways"
"Cheaper Rent"
"make housing affordable"
"More crafts related opportunites"
"Attract businesses instead of tourists"
"Stop building hotels"
"More housing"
"Building more bicycle and pedestrian infrastructure"
"Create pedestrian-only streets"
"Affordable housing and living wages"
"Strategic Plan for transportation and housing"
"remove homeless"
"collective spaces to do certain things"
"Lower rent for small businesses"
"Mountain Xpress"
"Height restrictions on new buildings"
Mountains
Theatre
"That's over"
"converting old building into new businesses, not only hotels"
"blunt man Bob"
"Bring back Buxton Hall BBQ!"
"Retiree options activities North"
"Individuals who care"
"NC natives"
"Asheville symphony orchestra"
"AVL Hoppers"
"Family friendly spots"
"AVL Unpaved"
"a unique Pack Square Monument"
"Lower property taxes"
"Stay Weird"
"Latin dance community"
"Corner Kitchen (The Corner Kitchen)"
"Sanctuary district"
"expand opportunities for locals and youth, not snowbirds and single-day/weekend tourism - smog was so bad two weeks ago I couldn't see the mountains I grew up with!"
"ROLLER SKATING RINK!"
"Careful, creative use of TDA funds to preserve uniqueness and support Asheville businesses not large corporations eg hotels"
"crazy festival"
"Improved mass transit"
"Increase affordable housing for residents who make it unique"
"Keep it affordable for rising artists"
"shuttle buses running 24/7"
"Eco friendly"
"Wellness opportunities in nature"
"Be more of a place to live, especially for the creatives."
"Limit new hotels"
"Expand cafes and increase walking neighborhoods, increase sidewalks"
"More Art Festivals"
"Fund the Arts"
"The truly local businesses we still have and need to nurture"
"Decent and affordable housing for lower income and house-less persons"
"more independent stores vs chains"
"Support for houseless folks!!"
"get rid of TDA"
"More downturn parking"
"Regulated growth and development"
"fix downtown sidewalks"
"Protection and support of local entrepreneurs and artisans"
"Free fairs and feativals"
"moratorium on hotels"
"more jobs"
"live music festivals"
Rebuilding
"Rebuilding RAD in new location"
"Fund the Arts after Helene"
"Helene recovery"
"Save the UNCA Woods"
"Focus on local economy"
"Be Kind"
"BeLoved Tiny Homes everywhere"
"Drive in movie theater"
"high rise hotels"
"More indoor kids activities"
Democrats
"Small business support (small business grants)"
"Rebuilding the RAD and the Blue Ridge Parkway"
"Social District (for Public Drinking in Downtown/Haywood Rd)"
"Start some other scene besides just being all about breweries and bars"
"Freedom to be who you want"
"Pisgah National Forest"
"More liberals"
"More bistros by locals"
"Celebrating queer art"
"born and bread here"
"Cater to families"
"City fund commercial real estate for small businesses"
"Intelligent planning and design"
"Local nature"
"The Lovely Asheville Annual Fall Festival (LAAFF)"
"Multi-use arts center"
"Octopus Garden"
"More parking"
"Selling out"
Youth
"Support of the arts"
"Rebuild the RAD with environmentally friendly designs"
"Rebuild the childrens parks and upgrade playspaces"
"Queer events"
"Our southern history"
"Quaint small stores restaurants and guesthouses"
"Pulling together during hurricane."
"Add more bike lanes on streets"
"Outdoor parks and community spaces"
"Arts and music"
"Stay Weird -- & get even weirder!!"
"Multi family housing"
"Locals Reclaiming Downtown"
Restaurants
"Highlight the Theater Community here"
"Post Helene regulations for flood zones and slopes"
"conscientious rebuilding of Asheville after the Hurricane"
Acceptance
Engineering
"Healing together"
"Asheville Buncombe Community Land Trust"
"Preserve green spaces"
Love
"Later hours"
"Orange Peel (The Orange Peel)"
"Funding for small businesses to rebuild"
"Universal Basic Income"
"Finding a community"
infrastructure
"More adult entertainment NOT tied to alcohol"
"Better Access to downtowna"
"Revamp of local vendor antique malls"
"Buying local"
"Stop allowing apartment complex to be built and say we are at capacity. Start the unique tend of saying we are full!!"
"The community"
"More pet friendly patios"
"Put LSD back in the water supply"
"Limit hotels"
"Interesting people"
Greenspace
"Young people"
"Spend money on the locals that live here year round!"
"We keep it WEIRD"
"DOWNTOWN ENTERTAINMENT"
"Identifying and shunning posers"
"Innovative community housing"
"Make Wall St pedestrian only"
"Plant trees"
"Art District"
Christianity
"Remove the downtown crazies, violent ones"
"Alternatives to cars"
Pandemic
"Keep the city clean , and homeless people off the streets, so we can get tourists back to help the business downtown."
"Tiny home community"
"New city council"
"Jazz lounge"
Newcomers
DTA5
"Restore affordable studio space for artists"
"film industry"
"mutual aid  and community building in wake of helene"
"recruit more artists"
"Asheville City Soccer Club"
"The growing music scene"
"More community events"
"Revival after Helene"
"Cannabis legalization"
"The Dolltones"
"More family events"
"Supporting the arts"
"Stay small"
"WNC Fermenting Festival"
"Subsidize small local business leases and property"
"LGBTQ friendly"
"Increase racial equity"
Resilience
"Better support for small local businesses."
community
"Outside groups raising local venue rental costs"
Equity
"Keeping out national chains"
"inspired architecture"
"Random acts of genuine kindness"
"Supporting small businesses"
"weird art!"
tourism
"Conserve UNCA woods"
"Legalize Psychedelics"
"More green space and bike-ability"
"Conserving UNCA woods"
"Meow Wolf"
drones
"creative residents"
"stop out of town developers"
"Circus arts"
"incentives for businesses to open after Hurricane"
"Outdoor Amphitheater"
positivity
"More parks"
"Revitalize Biltmore Village"
collaboration
"Airbnb’s hoarding homes"
"Less crime"
REFORESTATION
"Keeping our trees and forests"
"Clean up homelessness"
"Leave the trees"
"Intelligent planning and design post-Helene"
"Artistic Renaissance post helene"
"Asheville Art Museum"
"Farmers markets"
"burry the interstate"
"protected bike lanes"
"Artist districts"
"secondhand shops"
"good wages"
"sustainable post-helene rebuilding"
"Expand tree canopy"
"Hurricane recovery"
"Lower residential rent"
"Drum Circle"
"More outdoor venues"
"Bring back trolleys"
"Save neighborhoods"
"Subsidies for Artists"
"Being able to take the time after Helene to really look at what is needed, rather than rush into building and doing what was previously planned."
"More “native” folks involvement in planning/government to keep the traditional mountain feel to our area.  Outsiders are changing whatever made us great!"
"Kindness to ALL, despite differences"
"Banning Air BnB outright"
"Upgrade downtown sidewalks"
"Blue Ridge Mountains"
Protests
"Our creative community"
"mountains, and restaurants"
"Keep green spaces"
"Development moratorium"
"Rebuilding the right way!"
"Celebrate diverse thinking"
Inclusion
"Let protest marches through the city!"
cleanup
"engaged diversity"
Elections
"Supporting Artists"
"Arts and crafts district revival"
Business
"Restoring our forests after helene"
"Save UNCA 45 acre urban woods just 1 mile from downtown"
"Urban Forests"
"Support more live music venues"
"More local restaurants"
"Excellent service over price gouging"
"Post Helene spotlight"
"the new period store and musuem <3"
"Fostering small businesses post-Helene"
"Promoting local art/stores/etc."
"New, creative, local places opening in place of those that have closed"
"Support small, local businesses"
"Easier access to sides of town other than downtown"
"Uplifting small businesses, nonprofits, and mutual aid organizations."
"Turning hurricane destruction and areas into a walking art project/display"
"Hurricane grants"
"Local owned business"
"Things for Teenagers to do"
"roots music scene"
"Stop out of control development"
"Anti terrorism"
Dining
"Need more weird locals"
"Being a safe haven"
"Keep it simple"
"Green way along Swannanoa River Road"
HCA
"Empower our black community"
"Stay local"
"The People"
"Safer roads for all- more sidewalks   bike lanes"
"Re-building better post-Helene"
"Climate resilience building"
"Fund the health of the local community (education; healthcare; local businesses)"
"Keep corperations out"
"Keep supporting artists to live and work here"
"Protecting undeveloped land"
"More diversity"
"cultural resilience"
Permaculture
"Using the space from lack of tourists to bring focus back to the locals by supporting them with cheaper housing, more job opportunities and more support for the arts."
Harmony
"Outdoor grass music venue"
"Embracing the natural beauty of the mountains around us in the overly developed areas of time"
"reparations to entice diverse homeowners"
"More outdoor spaces and greenways"
"Kick out the rich people"
"Bringing back the river arts district"
Tourists
"Mutual aid"
Politics
"protect waterways"
"creative recovery from flood"
