YMCA
"cohesive community"
"A central hub"
"Peruvian chicken restaurant"
"More Activities for Kids and preteen"
"More walkable shops"
"Performance venues"
"more diversity"
"Better people"
"Good Vietnamese food"
"More affordability"
"The Hop"
"detroit style pizza restaurant"
affordability
"Affordable Housing for LOCALS"
"Cheaper rent, housing for locals"
"safer sidewalks"
"Sidewalks on Swannanoa River Road"
"Walking path"
"walking paths / sidewalks"
"Housing for Homeless & Affordable Housing"
