"Dessert place"
"Accessibility, Parking, Green Space"
"trash pickup"
greenspace
"Second floor for Morgan's Comic's"
"Skate Rink"
"Fewer Cars, More Sidewalks, Bike Lanes, Transit Lines, and Human Scale Infrastructure"
"Protected bike lanes"
"Less Homeless, More Police"
"Pool and bike paths"
"More Sidewalks, better bus stops"
"Places to go dancing, better parking"
"Better biking on roads - Haywood road"
"No drug activity"
"Late night bus"
"Harm reduction"
"Litter cleanups"
"Car wash"
"Invisibility cloak"
"Indoor Skate Rink"
"Healthy, affordable restaurant"
"Fewer unhoused people"
"more trees"
"Dog Park reopened"
Sidewalks
"Soju Distillery"
"Sandwich shop"
Pizza
"More tourists"
"Better food"
"Pedestrian Equity, Biking Path, Green Space"
"Kids Activities"
"Off street parking"
"Some gentrification"
Cava
"Live Music Venue"
Tourists
"A park"
"Good vietnamese food"
"Protection from i26 connector project"
"Walking path"
"Affordable parking"
"Something to replace dollar general"
"Public comfort stations"
"music festival"
"Honky Tonk"
"Affordable restaurants with normal food"
"A skating rink"
Parties
"Climbing gym"
"Support for unhoused"
"a A park"
"more retail stores"
"Cuban Restaurant"
Trolly
"In & out burger"
"A pho restaurant"
"Speed  limit Enforcement"
"More trash cans"
"Improved Public Transportation"
"A good Chinese restaurant"
"Neighborhood Parks"
"Harris Teeter"
"The Alley Cat to return"
"Strip club"
"To be left alone"
Coffee
"EV Chargers"
"walking trails"
Narcan
"Shoe repair"
"More bike lanes"
"hot dog stand"
"Fast healthy sandwich, smoothie, and juice spot"
"traffic control"
beautification
"Jason's Deli"
"Chili restaurant"
"A bodega"
"more music venues"
room
Police
"Sex shop"
"Greenway connecting to downtown"
"Rehab facilities"
"Ethiopian restaurant"
"Large entertainment venue"
"Carrier Park restoration"
"Cigar bar"
"Removing the abandoned buildings on haywood"
"Less cardboard signs"
"New Ingles"
"West Asheville Presbyterian Church turned into Art Studio"
"Good grocery store"
Sdewalks
"horse back trails"
"strong haywood st businesses that stay"
Shade
"public parking"
"Blown Up!"
"Bloody Mary & Mimosa Bar"
"Walkable grocery store"
"Less police"
"the Littlest birds"
"Cheese shop"
"even more compassion"
"Fewer Drug deals"
"More driveways"
"More weird"
Everything
"Kid Activities"
Playgrounds
Sweetgreen
"Better teens activities"
"stop the patton ave highway project"
"a better grocery store"
"Affordable lunch spots"
"cheap eats"
"Dog Park reopened or Dog bar"
"Social district"
"It’s funk back"
"More roads"
"Upcycle Store"
"Fewer needles on the street"
"late night n/a spot"
"A Corn Man"
"Indoor Skating Rink"
"New owner for Isis"
"Better Cell Service"
Tolerance
"a bypass"
"better busses"
"Public restrooms"
"Local Pharmacy"
"Peruvian chicken restaurant"
Quiet
Deli
"More Activities for Kids and preteen"
"Return of Zia Taqueria"
"A Soup Stand"
Greenways
"Good pizza place"
"I-26 underpass"
"more diversity"
"General Store"
"local cupcake shop"
Deodorant
"Less Panhandling"
"Less Homeless people"
affordability
"more cops"
"More free parking"
"A little extra parking"
"Address homelessness."
"Affordable Housing for LOCALS"
"Cheaper parking"
"help with the homelessness"
"More affordability"
"Parking !"
