"Cajun Restaurant"
"Smoothie Shop"
"Affordable Parking"
"Thrift Store"
"More Grab-N-Go Food Options"
"Leave the Monuments Alone"
"Common sense"
"More Outdoor Eating Patios"
"Central Park"
"Late Night Diner"
"Children's party spot"
"critical thinking"
"More Uber Service"
"Bathrooms (More Public 24-hour Restrooms)"
"Hat Shop"
"Better Paying Jobs"
"Crime prevention"
"Bagel Shop"
"More EV Chargers"
"Employee Parking"
"More Locals"
"Kosher deli"
"Cheesecake Factory"
"More Bottomless Mimosas"
"Sports Bar"
"More one way streets."
God
"Asian Food Place"
"Dog Door (The Dog Door)"
"Electric Scooters to Rent"
"Subway Train"
"information kiosk"
"Real strip clubs"
"Bike Lanes, Closed Streets to Cars"
School
"More Hippies"
"History Museum"
Integrity
"Family Friendly Things to Do"
Trees
Pedicabs
"Snarfs Deli"
"Authentic Greek Restaurant"
"Place to sit and relax"
"Salad Shop"
"Less Development"
"Tech firms"
"Pizza by the Slice"
"Coffee Shop with Outdoor Seating"
"Gay and Lesbian Bar"
"Green Park Space"
"PEACE & Quiet & Green Places to Meditate"
"Janitors, Street Sweepers/Cleaners, General Regular Cleaning"
Fountain
Opera
People
"Art Supply Store"
"Legal cannabis dispensary"
"Less Building so Wildlife Stops Being Displaced"
"Decent Steak/Grill House or Pub"
"Late Night French Fries"
"Vance Monument"
"All-Abilities Playground"
"Bigger Children’s Museum/Science Center"
"Better Parking"
Accessibility
"Convenience Store"
"A Good Dancing Club (Open Late)"
"Big Belly Solar Compacting Trash Cans"
"Punk Store"
"Better Roads"
"Skating Rink"
"Authentic Korean Food"
"Bars with Non Alcoholic Options"
"Better Public Transportation"
"Authentic Upscale Hookah Lounge"
"Indoor Roller Skating Rink"
"General Store and Demonstration Kitchen"
"Better Walkability/Bikeability (Car Free Zone)"
"Anything for Kids"
"Better City Council"
"Affordable Wine Bar"
"Christian Bookstore"
"Better Playgrounds"
"Affordable Lunch Places for People Who Work Downtown"
"Another homeless shelter"
"Bottomless Pit with Best of AVL Sign"
"Broadway Shows"
"Children’s Museum"
"City Park with Green Space"
Civility
"Car Free Zones"
Chairlift
CVS
"Community Gardens"
"Conferderate Monuments"
"Coin Drop Arcade"
"Computer/Tech Store"
"Decriminalize Skateboarding"
"Dog Park"
"Ethnic Restaurants"
"Evening Coffee Shops"
Falafel
"Fentanyl Control"
"Food Trucks"
"Fine Dining Chinese Restaurant"
"Good Thai Food"
"Grail Moviehouse"
"Good Pizza"
"Halal Food"
"Handicap Parking"
"Green Space Over Underground Parking"
"Ice Cream"
"Honky Tonk Bars"
"Improved Safety"
"Kid Friendly Park"
"Karaoke Bar"
"Kid Friendly Indoor Entertainment"
Lazrluvr
"Less Complaining"
"Laser Tag"
"Less Liberals"
"Less of These Judgmental Answers"
"Less Traffic"
"Less Tourists"
"Less People"
"Less Problems"
Locals
"Live Jazz & Burlesque"
"Less Crime"
Love
"Lower Rent"
"Light Rail"
"Local Music Venue"
"Manage Epidemic of Cigarette-Butt Trash on Sidewalks"
"Male Strip Clubs"
"Monument to Replace the Vance Monument"
"More Bookstores"
"Mental Health Resources for Homeless"
"Mediterranean Deli"
"Better Jobs"
"More Parking"
"More Live Music Venues"
"More Wine Options"
Museums
"More Eclectic Shopping"
"More Skyscrapers"
"More Chinese Food"
"More Tourists"
"More Local Perks/Discounts for Dining and Beverages"
"More Ethiopian Food"
"More Kid Friendly Places"
"More Rooftop Bars and Restaurants"
"More Vegan Restaurants"
"New City Council"
"Naked People"
"Non-Greasy Mexican Food"
"New Mayor"
"New Pack Square"
"Rent Control"
"Resources for Homeless"
"Quick Lunch"
"Ramen Shop"
"Public Bathrooms"
"Play Structure for Kids"
Popsicles
"Removal of Crime"
"Peace and Safety"
Rebuild
"Remodeled Thomas Wolf Auditorium"
"Road Improvements"
"Safe Injection Site"
"Salad Bar Buffet"
"Teenager Hangouts"
"Winter Skating Rink Outdoors"
"Splash Pad"
"Water Park"
"West African Store"
Transit
"Vietnamese food"
"Vegan and gluten-free bakery"
"Homeless Services"
Train
"Urban Greenway Connecting Downtown to RAD Greenway"
"Size-Inclusive Clothing Boutique"
Steakhouse
"The Old Days back…"
Sushi
"Writer's Café"
"Clean up Pack Square"
"Less Expensive for Workers Downtown"
"Shops that stay open later"
"Remove Homeless"
"More Police Presence"
Clowns
"Cheap or Free Parking for Locals"
"Authentic Chinese Food"
"Bathrooms (More Public Restrooms)"
"Resident parking permit"
"More buses"
"Less Floridians"
"More crafty make and take spaces"
"More respect for law enforcement"
"Wholesome, safe, welcoming atmosphere"
"Pedestrian only streets"
"Better Access to Mental Healthcare for Unhoused/Uninsured"
"Nail Salon"
Theaters
"weird hangouts for eccentric people"
"Water Fountains"
"Fewer Hotels"
"A Good Cleaning or Scrubbing"
"A makeover"
"24 hour breakfast spot"
"A good Greek restaurant"
"Reasonably priced parking"
"Police Protection"
"No cars"
"Help for Homeless"
"More access to restrooms"
"Less Homeless, More Police"
"more trees"
"Better Museums"
"More Parking (Less Expensive for Workers Downtown)"
"BIgger/nicer music venue"
"more trash cans"
"Fewer Tourists"
"More buskers"
"Clean Up Homeless Mess"
"Lower rents / affordable housing"
"Conservative Ideas"
"no cops"
"More Greenways"
"Absence of Homeless Drug Addicts"
"Stop the homeless camp sweeps."
"No Homeless"
"antique store"
"Infrastructure repair"
"contiguous bike paths"
Land
"Free Parking for Downtown Hospitality Workers"
"Tram from Downtown to Asheville Mall and Connect All Other Areas"
"Trash Clean Up"
"Better, More, and/or Free Parking"
"More security"
"More Kids Activities"
"Housing for Homeless & Affordable Housing"
"Affordable restaurants"
"A Park, More green and walkable space"
"Affordable Everyday Grocery Store"
"New sidewalks"
"Late Night Bus"
"Low Barrier Homeless Shelters (Low-barrier)"
"A solid brewery with good kitchen"
"Neighborhood Corner Grocery"
"A state of the art theater"
"WHEELCHAIR ACCESSIBILITY! FOR ALL STREETS AND BUSINESSES"
Cleaner
"More Public Restrooms"
"Repaired sidewalks"
"Clean Parks"
"More park space"
"A constructive way to care for homeless people"
"Get rid of liberals in office"
Culture
"Black-owned businesses"
"Kid friendly stores"
"Bele Chere-for free, again"
"Less apartments"
Aquarium
"Public indoor swimming pool"
"A stationery store like Scriptura (New Orleans)"
"Vegan and nut-free and gluten-free bakery"
"More local owned stores"
"Viable performing arts center to replace Thomas Wolfe Auditorium"
"To be safer"
"Better caliber of tourism"
"Less Homeless people"
"More late night eats"
"Parking garage for McCormick Field"
"Pagan Festival"
"More bike lanes"
"Less Tourists, More Locals"
"Lower prices"
"Indoor pools"
"Not more money"
"more policemen"
"A cleansing"
"shuttle to parking"
Toilets
"Safe public bathrooms"
"Metal bar"
"Easier parking"
"Good ER"
"Trash and recycling"
"Free Restrooms"
Taxis
"Juice Land"
Sanity
"More accessiblity for people with mobility challenges"
"quick healthy food"
Drugstore
bagels
"Speed dating; singles events"
"Less tourists/ transplants"
"Homeless and Druggie Removal"
"Good people with guns"
"green spaces/ roofs"
"Comedy Club"
"More regular types of shopping.  Not the weird stores"
"24 hour diner"
"full-serve respite for homeless"
Sefora
"cheaper parking"
"more events"
"Italian Specialty Store"
"Dedicated Pickleball courts"
"Blinking lights on crosswalks (not at intersections)"
"More benches & landscaping where the Vance monument was"
"Better crosswalks"
"Cheaper rent, housing for locals"
"Houseless Shelter"
"patient drivers"
"More mental health/substance use services"
"Stop panhandling"
Conservatives
"Good italian"
"Free on/off trolley"
"More real residents to maintain culture"
"More disability’ parking"
"More art"
"a new statue"
"To be car free"
"No Parking Meters"
"Something tall to view the surrounding beauty from"
"A corner store/bodega"
"Mote outdoor dining"
"Yoga Mill"
"fewer police"
"Lower taxes"
"Less Potholes"
"Less white people"
"Better Parking options"
"Cheap street food"
"More free parking"
Butchers
"A decently priced restaurant"
"Dance club"
"A roller skating rink"
"Bicycle and Pedestrian Infrastructure"
Teens
"Upscale French Restaurant"
"More late night food"
"A business to stay in the Harvest Pizza Building"
Security
"Soccer specific stadium"
"more cops"
Rewilding
"Solution for homelessness"
Q-Hall
Playground
Bowling
Homes
"More affordability"
"Voice Box (Karaoke with private room rentals)"
juicery
"Cool quiet wine bar"
"free circulator shuttle"
"Performance venues"
"An Authentic French cafe"
"Ripleys believe it or not"
"Cheaper Quick Lunch Options"
"Less busking"
"Soul Food restaurants"
"Italian Beef"
"Casual Food"
"Street Performers"
"Competent City Government"
"Cheaper Eats"
"Tourist Control"
"Water fountains/water refill stations"
"Snack/water stations for houseless folks"
"More Parks"
"more Accessible Parking"
"Better Lunch Places"
"Less homeless more police"
"More things for children"
"More infill development"
"quick shuttle to free offsite parking"
"E-bike Stations like Citibike"
"Colombian Restaurant"
"Lights at crosswalks"
"More washrooms"
"New Leadership"
"The Vance Monument, The obelisk"
Hockey
"No tourists"
"no more blocky yellow and orange apartment buildings or sky-high hotels"
"local office space"
"police on foot"
"A venue to host symphonies and broadway shows"
"Indoor kid places"
"local independent everything"
"More horse and hero"
"Protection for buskers"
"nine mile"
"Less parking tickets"
"A good park for families"
"A good women's clothing shop"
"Acai shop"
"activities for kids"
"All you can eat Korean BBQ"
"An artistic community center"
"Assurance of safety"
"Belle Cher return"
"Community center"
"better biking on roads"
"Better sanitation"
"Duck bowling"
"Foot Massage spot"
"Free Parking for workers"
"Get rid of the BID"
Housing
"Locals day"
"More Restaurants"
"More restaurants but not chains"
"Less Begging"
"Upscale Men's Clothing Store"
Pho
Cleanliness
"Crisis Intervention"
"open the bathrooms at Pack Square during events"
"Mocktail bar"
Weirdness
"Tourist Ban"
"Multi-use Arts Center"
"Indoor Go Karts"
"Fewer unhoused people"
"Free parking for city workers"
"Childrens Entertainment"
"bear b que restaurant"
"Yoga studio"
"Sandwich shop"
Pizza
Tourists
"Pedestrian Equity, Biking Path, Green Space"
"Local support"
"La Bodega to come back"
"Police Officers"
"More stores. Movie house"
"Less salmon shorts"
landscaping
Businesses
"more protests!"
"Better parking options for locals who work downtown"
Cleanup
"people with money to spend at local restaurants and shops"
"Park n Ride"
"hardware store"
"paved streets/no potholes"
"sidewalks and bike lanes"
"Independent business support"
"More Metal shows"
"GOOD vietnamese food"
"A non-profit hospital"
"Walking oath"
Police
affordability
"Public comfort stations"
"We need MORE fun stuff to do. Since I’ve moved here, Asheville is losing its charm. We need actual good malls, skating rinks, arcades or adult playgrounds, big food cafeterias, etc."
"Social district"
"stores to stop closing :("
"Better street lighting"
"Waffle House"
"Support for the unhoused and more housing"
"Free parking for service industry workers"
"More maps showcasing businesses"
"NY Jewish Deli"
"Taco Billy"
"Better Retail Shops"
"regular art markets like the ones after helene"
"more events downtown at Pack Square"
"Night life"
"Performing arts center"
"A real art museum"
"Third Spaces"
"Get rid of off the wagon"
"An evening crowd"
"Turkish Döner shop"
"to eliminate the BID"
"Cheap or Free Parking for Locals who are older"
"Less Drug Addicts"
Bathrooms
"More kid activities"
"creative solutions"
"Italian deli"
"Strip Club"
"Stores and restaurants"
"pedestrian-only streets"
"Patton Ave road resurfacing"
"Top golf"
"Cheaper, casual restaurants"
"An aperitif bar, authentic Italian style."
"No loitering zone"
"ice cream truck"
"Community Oriented Policing"
"Support for local businesses to stay open"
"Make homelessness illegal in downtown"
"to be cooler"
"New home for ASO"
"Coffee shops that stay open past 2"
"Better Homeless Control"
"More trees and no cars, affordable housing"
"Cute grocer"
"Better concert/event hall (replace Thomas Wolfe)"
"More buskers!"
"More cleanup of trash"
"Sandwich shop OPEN LATE!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"Address homelessness."
"no gas cars"
"First Night Out Festival"
"Less trash"
"improved sidewalks"
"A Real Bagel Shop"
"A great Chinese restaurant"
"Lunch all day!"
"hot dog stand"
"Urban Forest just 1 mile away"
"a new YMCA"
"Cheaper Eats (more laid back, less catered to tourists)"
"Noise enforcement"
"more music venues"
"Parking lot shuttles"
"Noise control"
"More regular public transportation that everyone can use"
"Fish Fry"
"Free parking for people who work downtown"
"Professional theater with million dollar budget"
"A decent concert/theater venue"
"Timed stoplights"
"kebab stand"
"Karoake venue with rooms"
"skyline chiles"
"Cheaper, accessible parking for locals"
"Protected bike lanes"
"mini golf"
"More business spots with parking"
"A Pedestrian Zone"
"affordable shops"
"Yoga studio (out door)"
"Better parking options for locals who work downtown and extend parking meter times"
"Something for teens to do"
"Ordinance to Stop the LOUD Mufflers on Cars & Motorcycles, & reving up of engines"
"a walking tour."
"A communal crafting place"
"New YMCA building"
"Rid of homeless"
"street fairs"
"better signage for entrances to parking garages"
"cheaper more available parking"
"Closed streets to cars"
"Fresh produce"
"seafood restaurant"
"A ban on outdoor fireplaces"
"Tex Mex"
"Restaurants that stay open later"
"good traditional breakfast restaurant"
"Change and God"
"trump to be impeached"
Swings
"Less republicans"
"More places to dance"
"even more compassion"
"more reasonably priced parking"
"better night life"
"German restaurant"
"Finishing construction on Patton Ave roadwork"
"a urban forest within 1 mile like UNCA woods"
Sweetgreen
"Rock n Roll Dance Club"
"Affordable commercial space"
"Close some streets to cars"
"Greater police presence"
"Indoor activities for kids"
"wider and improved sidewalks"
"free public transit"
"Affordable lunch spots open on the weekend"
"Sichuan Chinese restaurant"
"no cars on Wall Street"
"Free locals parking"
"Pho restaurant"
"Metro, train or subway system"
"Picnic benches"
"pool tables"
"Trash cans evey other block"
"free tram"
"better busses"
"Another bold rock"
"Coffee shops that open before 9 a.m."
"More homeless/ rehabilitation centers"
"True Food Kitchen please!"
"Coffee Shops in afternoon"
"Blow out bar"
"Peruvian chicken restaurant"
"climbing gym"
"More parks/green space"
"A children's hands on  museum"
"Alternatives to homeless camping in downtown"
"Fewer homeless people"
"Return of Vance Monument"
"More local businesses rather than hotels and chains"
"An event center for Broadway level shows"
"free music festival"
"local cupcake shop"
"Dancing Bear"
"Clean up."
