"Jonas Gerard Studios"
"Mastriani Painting and Drawing"
"Joan Lesikin - Hendersonville"
"Rotunda Gallery - Sylva"
"Colton Dion Gallery"
"Kevin Andrew Gallery   Studio"
"Russell | Armstrong Gallery"
"Re.Imagine Gallery & Studios"
"Lucy in the Rye"
Foundry
"Holden Arts Center"
"JMK Studio236"
"Second Story Potters"
"Qualla Arts and Crafts Mutual (Cherokee)"
"K2 Studio"
"Versatilities Abstract"
"The Lift Studios"
"The Marquee"
"Black Mountain Old Depot Art by the Tracks"
"Blue Sky"
"Red Rocket"
"Marlow Gates"
"Western North Carolina Craft Trails"
Lamplight
"Kreuser Gallery"
"Museum of the American House Cat"
ArtMob
"Carolina Lane (new)"
"AVL Art Garden"
Splurge
"The Gallery of Flat Rock"
"The Radical"
"Starfangled Press"
"Weizenblatt Gallery"
"Vessel, Hendersonville"
"The Art Garden"
"Oberon Gallery"
"Cindy Walton FinebArt"
"Dane Wells Gallery"
"Sarah Sunshine Pottery"
"Small Batch Glass Blowing"
"The Outpost River Arts District"
"Third Room"
"5 Little Monkeys Quilt and Sew (Five Little)"
"Artbeat Gallery & Lounge"
"Blowing Rock Art & History Museum"
"Dog & Pony Show"
"Girl And Goblin"
"Joel Hunnicutt"
"Little Animals"
"Luna Gallery Asheville"
"Millennium Gallery"
"Resurrection Studios Collective"
"Saluda Studios"
Swannatopia
"The Lucas Gallery"
"UpMarket Gallery"
"Tracy Morgan Gallery"
"Tryon Painters & Sculptors"
"Vibrating Visions"
"asheville art gallery"
"My fresh palette"
"Grand Bohemian"
"3rd Room"
"paper town pottery"
Momentum
"Reggie battle"
"Bascom Highlands NC"
"Upstairs Art Space"
Wadsworth
"The Gallery Spruce Pine NC"
"Black mountain vintage"
"Asheville Glassworks"
"tapestry gallery biltmore estate"
"asheville community theatre"
"The Bascom"
"sovereign kava"
"Number 8 Art Gallery Brevard"
"Kristie Grove Illustrations"
reimagine
"Southern Highland Craft Guild (Allenstand at the Folk Art Center, Biltmore Village, Guild Crafts on Tunnel Road) put up uh"
"Stecoah Valley Art Gallery"
"Matt Decker"
