"More Sidewalks"
"Improve Merrimon Run Down Areas"
"More Music Venues"
"A Decent Bar"
"Clothing Boutique"
Costco
"Cheesecake Factory"
"More Bars"
"Movie Theatre"
"Better Bus Service"
"French Place"
"Composting Toilets, More Edible Trees and Gardens, Bike Lanes, Electric Scooters to Rent, and Public Spaces"
Parks
Bars/Breweries
"Weed dispensary"
"More Driving Lanes (Sorry!)"
"Sub Shop"
Trees
"Lower Rent"
"Low Barrier Homeless Shelters"
"Movie Theatre"
"Organic Juice Bar"
"Less Crime"
"More Activities for Kids"
"Upscale Restaurants"
"Less Rich People"
"Less People"
"T.J. Maxx (TJ Maxx)"
"Annual Celebratory Event"
"Good Chinese Food"
"Less Tourists"
"Better Water Infrastructure"
"Jewish Deli"
"More Parking at Beaver lake"
"Less Building so Wildlife Stops Being Displaced"
"Less Homeless, More Police"
"More Vegan"
"Less Air B&Bs"
"Cheaper rent"
"Decent Steak/Grill House or Pub"
"New Playground"
"Free Parking"
"Nothing, it’s perfect"
Cookout
"Smoothie Place"
"Blue Dream Curry House"
"Subway Train"
"Road Repairs and Striping"
"Teenager hangouts"
"More Restaurants and Bars"
"More Local Shops"
"Light rail"
"Housing for Homeless"
"Put Merrimon back as it was"
"anything interesting"
"Dedicated Pickleball Courts"
"Water Park"
"places for lunch"
"Good Thai Food"
"More Public Transportation"
"Local Coffee Shop"
"Fewer Bike Lanes"
"Mediterranean Food"
"traffic enforcement by APD"
"Better Restaurants"
Transit
"Fewer Liberals"
"Late Night Food"
Pool
"Less Stinky Water Treatment Plant"
Sidewalks
"Authentic Asian food"
"Vegan and Gluten Free Bakery"
"Halal Food"
"Vietnamese Restaurant"
"A Better Ingles"
"Add lanes to Merrimon"
"Skating Rink"
Co-op
"Better Police"
"Burrito Restaurant"
"A new mayor"
"Less Homeless"
Culver’s
"More Stores"
"Planet Fitness"
"Continue the 3-lane redesign of Merrimon Ave"
Kindness
"Salad Restaurant"
"Good Local Restaurants"
"More Republicans"
Chick-fil-A
"Better streets"
"better sidewalks"
"Fewer Cars, More Sidewalks, Bike Lanes, Transit Lines, and Human Scale Infrastructure"
"Size Inclusive Clothing Boutique"
"Peace & Quiet"
"Less Rednecks"
"Not the Merrimon Road Diet"
"Less Trash"
"A gym"
"Bathrooms and Services for Homeless"
Arcade
"Taco Billy"
"Roller Skating Rink (ANYWHERE in Asheville)"
"A mall"
"Neighborhood Bar"
"Less Junkies"
"Fewer Conservatives"
"Mixed-use retail/housing development with a small grocery on the lot that Ingles owns on Charlotte Street"
"Less Hotels, Less Power Supply, Less Major Tourism, Affordable Housing, Living Wage Jobs"
"Get Rid of Road Diet and Bike Lanes"
"Writer's Café"
"Remove beggars"
love
"Toy Store"
"no bike lanes and put the 2 lanes back."
Houses
humility
"Dive Bar"
"Public Services for Mentally Ill or Homeless"
Fitness
"Indoor kid friendly entertainment"
"Italian Deli"
"Casual Restaurants"
"Fruit trees"
REI
"Whole foods"
"Recycling station"
Wegmans
Communism
"24/7 Store"
"More cafes and bars"
"Splash pad"
"Bearproof garbage cans"
"Bike Trai"
"Bike Lanes,"
"Bike Lane"
"Fix Merrimon"
"More Crosswalks"
"24 hour breakfast spot"
Clowns
"Authentic Chinese Food"
"More grocery store selection"
"more coffee shops and ways to easily walk downtown"
"Dedicated Bike lanes all the way to Marshall"
"Later open bars"
parkings
"1 lane road on merrimon"
"Public pool"
"Lower rents / affordable housing"
"no cops"
"Protected bike lanes"
"apple store"
"Park benches"
"contiguous bike paths"
"Drive in"
"A GOOD DELI."
"A good seafood restaurant"
"Community Pool"
"Affordable restaurants"
"texas roadhouse"
"Retail shopping"
Michael's
"More green and walkable space"
"More quality restaurants"
"Good breakfast spot"
"Cracker Barrel"
"Jersey Mike’s Subs"
"WHEELCHAIR ACCESSIBILITY! FOR ALL STREETS AND BUSINESSES DAMMIT!"
"A good groomer"
"commuter train"
"Red Robin"
"Less democrats"
Culture
"repair shops"
"Black-owned businesses"
Starbucks
"Indoor pool"
"Less apartments"
"Holiday cheer"
"A Krispy kreme"
"Asian products Store"
"More street lights"
"Wine Bar and high end restaurant"
"Soft Serve in Montford"
"A good steak house"
"improved parking at library"
"A good neighborhood bar"
"to place something in the old Stein Mart"
Everything
"Lower prices"
Hospital
"A grocery store that’s not ingles/costco"
walkability
"more user friendly parks (Beaver Lake)"
"Cat cafe"
"Moratorium on building apartments and condominiums in Weaverville area until better city roads"
"Public park"
Juiceland
"Cell service"
"ice cream store"
"public fishing holes"
Roundabouts
"Less open drug markets"
"A Public Park"
"A fun bar"
"A good pub"
"Italian Specialty Store"
"Smoky mountain painting LLC"
Publix
"Pedestrian Crosswalks on Merrimon and affordable rentals"
"tennis courts"
"Cheaper rent, housing for locals"
Cocaine
"a bike trail"
"reversal of road diet"
"Less noisy cars"
"young people"
"Breakfast restaurants"
"Yoga Mill"
"eliminate panhandling"
"Less hotels"
"Less Potholes"
"no tda"
"A good gymnasium"
"Cocktail bar"
ramen
"Reopen Merrimon Ave"
"Drive in movie"
"A bar"
"Bicycle and Pedestrian Infrastructure"
"green spaces to sit"
Q-Hall
"Donut shop"
"Inexpensive restaurants"
"For Trader Joe’s to provide parking for employees so they don’t park in our cramped neighborhood in 5Points"
"Four Lane Merrimon Ave"
Homes
juicery
"Drive thru coffee"
"Play lodge for kids"
"Performance venues"
"Better traffic engineering"
"Italian Food Market"
"More small restaurants"
"Outdoor Cafe"
playgrounds
Theater
"More affordable houses"
"More Accessible Parking Options"
"More multi-family housing"
"Authentic Italian Deli/Bakery"
"Cheaper houses"
"More Greenways"
Resturants
"Better Public Transportation"
"Pedestrian Crosswalks on North Merrimon"
"fix 3 lane redesign on merrimon"
"Accessibility, Affordability, Housing, Health Services"
"Banh Mi"
"More BIPOC home owners"
"Casual but nice date night bar/restaurant"
"More parking for Beaver Lake"
"More good restaurants"
"More Local Restaurants and shops"
"More parking"
"Community center"
"gas stations"
"More stores to fill empty storefronts"
"Public transportation"
"Children entertainment"
Uniqueness
"Cheap spa"
"Parking for people to enjoy parks, lake, etc."
"Healthy, affordable restaurant"
"More trees"
"Urban Forest protection"
"Reems Creek Waterfall Access"
"Local Coffee Shop with outdoor seating"
"Good Mexican food"
"less cars"
"Proper sit-down restaurant"
"More tourists"
Cornerstone
"Pedestrian Equity, Biking Path, Green Space"
"UNCA Woods"
"Less Homeless people"
"Great diner"
"More traffic"
Cava
"people with money to spend at local restaurants and shops"
"Public park with walking trail"
"More restaurants, coffee shops, bars and small businesses. No more banks and fast food corporate businesses"
"Dance club"
"GOOD vietnamese food"
"Lunch spots"
"Walking path"
Cleaning
"Full service car wash"
Rehab
affordability
"Public comfort stations"
"Baked Pie"
"Local wine market"
"Real restaurants"
"A big walking park"
Safety
"Stuff to do"
Pho
"Indian restaurant"
money
"Children's museum"
"Fun bars"
"Strip Club"
"A turning lane for Trader Joe's and Whole Foods on Merrimon Ave"
"Lower Priced Homes"
"Cuban Restaurant"
Petsmart
"Widening of Merrimon Ave"
"Krystal burgers"
bagels
Restaurant
"tower with a view"
"Italian Beef"
"4 lane Merrimon Ave"
"somewhat upscale clothing store"
Greenways
"Affordable Housing for LOCALS"
"open lanes on Merrimon"
"Vegan restaurant"
"Fewer Impatient Drivers"
"Less City Council Representation"
"More trees, more free parking around, affordable housing"
"A good bar"
"Neighborhood restaurant/bar"
"Address homelessness"
Diner
"The Woods at UNCA"
"A great shoe repair and a great Chinese Restaurant!!!"
"More bike lanes"
"Local family restaurants"
"deeply affordable housing"
"hot dog stand"
"Jason's Deli"
"Improved roads"
"Bike Trails"
"traffic control"
Police
"A soul"
"A cool bar"
"Good Early Voting poll site"
"Tear down dilapidated buildings on Merrimon"
"Woodfin Business Association"
"safer sidewalks"
"Get rid of Homeless"
"El Que pasa exactly like Patton Ave menu & Margarita recipes"
"Golden Corral"
"bury electrical lines, no more telephone poles in sidewalks"
"Full empty stores"
"A great brunch spot like Sunny Point"
"An affordable restaurant with large tables"
"great restaurant"
"greenway connected to city"
"Home Depot"
"trump to be impeached"
"More outdoor seating restaurant’s"
"Family friendly bar/restaurant"
Access
Trails
Sweetgreen
"A bookstore"
"More lanes on Merrimon"
"Parking for library"
"A good Chinese restaurant"
"Pedestrian only zone"
"more democrats"
"More casual watering holes with bites"
"More kid Friendly Activities"
"More vegan places to eat"
"Affordable lunch spots open on the weekend"
"Get rid of the bike lane"
"Road diet"
"Southern exposure"
"Trash cans"
"24 hour diner"
"better busses"
"Better Mexican food"
Dripolator
"Peruvian chicken restaurant"
"More Activities for Kids and preteens"
"better walking places"
"climbing gym"
"A Tree Sanctuary"
"Healthy restaurants"
"Another bar"
Daycare
"More Homeless Care Centers"
"More affordability"
"local cupcake shop"
