"More Soul"
"Metro Wines"
"Community Gardens"
"More Live Music Venues"
"Walkable Areas"
"Slower Traffic"
Nature
Culture
Pool
"Different Grocery Stores Besides Ingles"
"Vegan and Gluten Free Bakery"
"Halal Food"
"Cookie Shop"
"Reliable water supply"
"More Local Spots, Less Corporate"
"Clean Up"
"Skating Rink"
"Ollie’s Bargain Outlet"
"Kava Bar"
"Independent Restaurants"
"Less Racism and Homophobia"
"A heart"
"More Democrats"
"Less Cars"
"Bikini Barista"
"Less Republicans"
Safety
"Smart lights at all intersections"
Poetry
"More Local Gift Stores"
"Vietnamese Restaurant"
"Snooze am eatery"
"More Republicans"
Greenways
"Less Junkies"
"Get Rid of Hendersonville Road"
"Good Food"
"Paved Streets"
"Clothing Stores"
"Fewer Cars, More Sidewalks, Bike Lanes, Transit Lines, and Human Scale Infrastructure"
"Size Inclusive Clothing Boutique"
"No More Apartments"
"Seafood Restaurant"
"Better Attitude"
"Breakfast Restaurant"
"Better Sidewalks"
"Solve Traffic Problem and Stop Building Until They Do"
"Wider Roads"
"Less Trash"
"Synchronized Stop Lights"
"Less Breweries"
Independence
"Bathrooms and Services for Homeless"
"Better Traffic Control"
"Coin Drop Arcade"
"More Bars/Local Restaurants"
"Improve the Traffic"
"Off Leash Dog Bar"
"Bike Lanes"
"Mediterranean Restaurant"
"Taco Billy"
"Passenger Rail Service"
Confidence
"Less Hotels, Less Power Supply, Less Major Tourism, Affordable Housing, Living Wage Jobs"
"Affordable Housing/Less People"
"Writer's Café"
"More Lanes"
"More Bookstores"
"Pretty Outdoor Bar"
"Go Away"
"More Roads and Lanes"
"Less Building"
Houses
"Representation on Council"
"Laser Tag"
"More Frequent Buses"
"Dave and Busters"
"Less General South Ashevilleness"
"Public Services for Mentally Ill or Homeless"
"More Places for Dogs To Be Boarded Overnight and Daycare (Reputable Not Dingy Places like Camp Bow Wow which Is Over Crowded with Dogs)"
Arcades
"Indoor Kid Friendly Entertainment"
"Bottle Shop"
"More Green Spaces"
Pastries
"Less Homeless, More Police"
"Italian Deli"
"Pep Talk"
"Accessibility, Affordability, Housing, Health Services"
Secession
"Not Exist"
"Recycling Station"
"Bike Paths"
"More Real Asheville"
"New York Deli"
"Keep Asheville Unique"
Homes
"Fewer cars"
"Affordable Housing,"
"Less police"
"Public park"
"Top golf"
"24 hour breakfast spot"
Clowns
"Women's Clothing"
"Authentic Chinese Food"
"Dollar store"
Sams
"Sit down restaurants"
Boutiques
"More buses"
"New restaurants"
"Public pool"
"A wall"
"roller rink"
"Protected bike lanes"
"apple store"
"Less hippies"
"contiguous bike paths"
"A GOOD DELI."
"Italian Deli & Market"
"Affordable restaurants"
"Cook Out"
"commuter Train"
"Red Robin"
"Family resturant"
"A karaoke place every night of the week"
"Better light synchronizing on Hendersonville Rd"
cleaning
"Less Stuff"
"Black-owned businesses"
"Kids museum"
publicity
"Acai Bowl spot"
"More bike infrastructure"
"food banquet hall"
"Less crime"
"Fast Casual Salad Restaurant"
"better public transit"
"Kids Activities, aquarium, better museums"
"Lower prices"
"Atom Bomb"
"Cat cafe"
"A minority"
Juiceland
"public fishing holes"
"Restaurant with outdoor playground for kids!"
"A good Bar"
Roundabouts
"To be outside city limits"
"Less tourists/ transplants"
"Less panhandlers"
"More Diversity"
"Madness restaurant"
"24 hour diner"
"Wider thoroughfare streets"
"Better breweries"
"Smoky mountain painting LLC"
"Awesome Bagel Shop"
"tennis courts"
"Cheaper rent, housing for locals"
"Bar for older people"
"More independent shops"
"Main Event"
"Yoga Mill"
"eliminate panhandling"
wasabi
"Less hotels"
"Harvest Records"
"Less Potholes"
ramen
Help
"Bicycle and Pedestrian Infrastructure"
"More local restaurants"
"green spaces to sit"
Q-Hall
"Indian restaurant"
"The Hop"
juicery
Restaurants
"Sidewalks and lower rent prices"
"Better Public Transportation"
"Safe Walking areas"
"Lower rents / affordable housing"
"Seafood Shop"
"Late Night Food"
"Excellent, reasonably priced hairstylist"
"Community center"
"Things for kids to do"
Park
"More walkable streets"
"Healthy, affordable restaurant"
"Bahn mi"
"barbque restaurant"
"Pedestrian Equity, Biking Path, Green Space"
"Good Chinese food"
Cava
"Cell service improvement"
"Nice condo housing"
"Less growth"
"A park"
"Dance club"
"Good vietnamese food"
"col musterd"
"More independent restaurants"
"The expressway construction completed"
Kohl’s
"A bypass"
"A big two story mall"
Pho
money
"More attractions"
"Cuban Restaurant"
"Less traffic lights"
"An upscale cocktail bar"
"Bar Taco"
Bagels
"tower with a view"
"Better drivers"
"More vegan restaurants"
"Improve Infrastructure"
"Complete Infrastructure"
"More late night food"
"Pedestrian Infrastructure"
"Slate drunk"
"Chinese buffet"
Bakery
"City Council Representation"
"Independent Grocery store"
"Outdoor dining"
"Address homelessness."
Dessert
"Shoe repair"
"More bike lanes"
"hot dog stand"
"community center/garden"
"Jason's Deli"
"Comedy Club"
"more music venues"
Police
"Accessible playground"
"more public transit"
"A good bodega"
"A good seafood restaurant"
"Flood recovery"
Applebee's
"El Que Pasa"
"Moe's Original BBQ"
"Late night coffee shop"
"fewer people"
Rebuilt
"J&S cafeteria"
"Kid museum"
Sweetgreen
"A good Chinese restaurant"
"Pedestrian only zone"
"Children Activities"
"Authentic Italian Deli/Bakery"
"More food"
"protected left turn (GREEN) lights!"
"Renovate the Skyland/South Buncombe Library"
"A good Farmers market on Saturday"
"Public bathroom"
"rapid transit up/down Hendersonville"
"Trash cans"
"better busses"
"An identity"
Cookout
"Less congestion"
"A decent cocktail or wine bar"
"Peruvian chicken restaurant"
"More Activities for Kids and preteen"
"less highway"
"Performance venues"
"climbing gym"
"less of everything"
"Connected Greenways"
"Adjustments to the traffic patterns"
"More Homeless Care Centers"
"26 to be completed"
"Chicago style pizza restaurant"
affordability
"More affordability"
"safer sidewalks"
"Walking path"
"Affordable Housing for LOCALS"
