Lyric
Lactones
"Mar and the Marmaladies"
"Buddhagraph Spaceship"
Astralines
"Delta Rae"
"Circus Mutt"
"Wayne Robbins & The Hellsayers"
"Knotty Gs"
"40 20 10’s (forty)"
"Jerry’s Dead"
"Emma’s Lounge"
"Boat Command"
"Oblivion Throne"
"Snake Oil Medicine Show"
"The Lonesome Road Band"
"The Pubsters"
"Alex Caruso and Friends"
"Angry Possum String Band"
"Mother Marrow"
"Fancy and The Gentleman"
"Fancy  and The Gentlemen"
"J Lloyd Mash Up"
"Dirty Bird"
Folkadelic
"Free Planet Radio"
"The Feels"
"The Grey Birds"
"The Knotty G’s"
"Sara tucker"
Rockstead
"Corey Bowers Band"
"Mama & The Ruckus"
"PyleTribe (Pyle Tribe, Artemis Pyle)"
"studda bubba"
"Soul Blue"
"Buffalo Kings"
"Check Your Head: Beastie Boys Tribute"
"Nick Mac & The Noise"
QuickChester
"Day & Dream (Day and Dream)"
"Double Love & The Trouble"
"Pictures of Vernon"
"Tedeschi Trucks Band"
"Bottleneck Jett"
"Awake in the Dream"
Watkins
"Big Something"
"Chikomo Marimba"
"Rocky MTN Roller"
"Nerd Alert"
"Big Blue"
"Joe Lasher"
Descolada
"Black Sea Beat Society"
"The Build"
"Amici Music"
"Cartridge Family (The Cartridge Family)"
"Safety Coffin"
"Crimson Moon"
"Porcelain Parrot"
"the bins"
"My Gal Monday"
"Asheville Second Line"
"Bad Sleepers"
"Akita Funk"
"The grass roots"
Cuberow
"Bombay Gasoline"
"Abbey Elmore Band"
"MHU Jazz Ensemble (Mars Hill University)"
"Posey Royale (James Posedel)"
"The Lefties"
"The old futures"
"The Lords of Chicken Hill"
Augur
"Stoplight Observations"
Watches
"Unspoken Tradition"
Tumbao
Raditude
"ArtSpace Charter School Ensembles"
"Pretty Little Goats"
Bellizia
"Socialist Anxiety"
"Carolina Chocolate Drops"
"The Discs"
"My Man Henry"
"String Cheese Incident"
Dangermuffin
"3 Cool Cats"
"6-Speed Band"
"Appalachian Consort"
"Bassless Rumours"
"Billy Jonas Band"
"Blackwater Station"
"Blistering Dissonance"
"Blushin’ Roulettes"
"Bona Fide"
"Boogie therapy"
"Brass Your Heart"
"Bonus Hole Boys"
"Brevard Youth Music Center"
"Carolina Drifters"
"Cyndi Lou and the Want To"
"Detective Blind"
"Depeche Mode"
"Drew Holcomb and the Neighbors"
"Drowning Leo"
"East Coast Dirt"
"Emerald Frequency"
"Fancy and the Gentlemen"
"Feeling Bad"
"Forever Peace and Charm"
"Free creatures"
"Free Flow Band"
"Free Dead Friday"
"Fresh Buzz"
"Future 26"
"Funkin around"
"george reeves & Jack Miller"
"Gold & Light (Gold 'n Light)"
"Gnarley Fingers"
"Groove collection"
"Gus and phriends/free dead friday"
Gummy
"Gus n phriends"
"Hex angle"
"Honey Holler"
"Horney Heights All-Stars"
"Horny Heights All-Stars"
"Imij of Soul"
"Isaac Hadden Organ Trio"
"Joe Keyes & Late Bloomer Band"
Jazzville
Kangarot
"Kingdom Kome"
"Kovacs and the polar bears"
"Kristen Toole and band"
"Kyle Travers"
"Lo Wolf"
"Mac Arnold"
"Marc Keller Band"
Manas
"Melissa mckinney"
MGB
"Monticello Road"
"moonfish 2"
"My Magnificent Nemesis"
Mipso
"Old dirty bathtub"
"Pilgrim Party Girl"
"Rocky Collin"
"Rocky Mountain Rollers"
"Secret agent 23 skidoo"
"Shaggy and Susie"
"Shakey Graves"
"Black Sea Beat Society (The Black Sea Beat Society)"
"The Clam Chowder Experience (Clam Chowder Experience)"
"Coveralls (The Coveralls)"
"JackTown Ramblers (The JackTown Ramblers)"
"The Jlloyd Mashup Band (Jlloyd Mashup Band)"
"Last Full Measure (The Last Full Measure)"
"Record Company, The Record Company"
"Satyrs, The satyrs"
"Silver Doors, The Silver Doors"
"Snozzberries, The (The Snozzberries)"
"Squealers, The Squealers"
"Watkins band, The Watkins band"
"Well-Drinkers, The Well Drinkers"
"WestSound, the westsound"
"Tina & Her Pony"
"Tj Stacy"
"Title Fight"
"Tony Gilbert and the Fat Cat"
"Travis Book"
"Trisha Ann Band"
"Trusty Hucksters"
"Truth and Salvage"
Twinz
"Tumo Kohrs"
Unihorn
"U.S. Christmas"
"Velvet Truckstop"
"Vince junior band"
"Viva La vox"
"Walker Family Band"
Watchhouse
"Zachary Briggs"
"Wife Island"
"White Oak Splits"
"Royal Suits"
"Caitlyn and the Broadcast"
"Puppy and the Dogs"
"Donna The Buffalo"
"Hip Abduction"
"The DeviilMakes Three"
"Doss Church and the Unholy Noise"
"City Limits"
"Mitch McConnell and the Senators"
"I Draw Slow"
"anne coombs"
"Mood Ring"
"It's 5 O'clock Somewhere"
Kickback
Kalgon
"Dead South"
"Drivin n Cryin"
"Acid Jo"
Dish
"Call the Next Witness"
"Daydream Creatures"
"David Childers and the Serpents"
"Matt Smith"
Bonedozer
"The Kavalactones"
Mordaga
"Magic City Hippies"
"Telephone Larry"
"The Go Devils"
"Sonos Poetica"
"Seismic Sutra"
"Rahm Squad"
"Odd Squad"
"Peacock Planet Band"
"Daniel Seriff"
"The Greenliners"
"Camgirl (Cam Girl)"
Goodies
"The Dead Tongues"
O.A.R.
"The Dirty French Broads"
"Alien Music Club"
"House of Hamill"
"James Hammel"
"Tombstone Poetry"
"The Zealots"
"Sierra Farrel"
"Three on the Tree"
"Alexa Rose"
"Grass Owls"
Dismality
"Helado Negro"
"¿WATCHES? (Watches)"
"Outlaw Whiskey Band, The (The Outlaw Whiskey Band)"
AstroSauce
"Calculated Error"
"John Henrys (The John Henrys)"
"PartyRx (Sal Landers PartyRx, Party Rx)"
"Stipe Brothers, The (The Stipe Brothers)"
"Corey Stevenson Band (The Corey Stevenson Band)"
Phibian
"Possum on a Whale"
"Moonshine State"
"Sugar Bomb"
"Faux Skater"
"Bad Ties"
"Sirai and Friends (Sirai & Friends)"
"Tiny TVs"
"Aunt Ant"
"Run Over by a Horse"
"Beaverdam Valley (The Beaverdam Valley Band, Beaver Dam Valley)"
"Caged Affair"
Mindframe
"Fake Eyes"
"Pleasantly Wild"
Wagging
"Kings of Jazz (The Kings of Jazz, Steve Simon & the Kings of Jazz)"
"Nobody’s Darling String Band"
"Beard Cult (The Beard Cult)"
"Deviled Eggs (The Deviled Eggs)"
"Belfast Boys (The Belfast Boys)"
"In Flight"
Amnesis
"Clearwater Connection"
"My Morning Jacket"
"Avett Brothers (The Avett Brothers)"
"Cactus Kate & the Pricks"
Fallift
"Grave Girls"
"Kindred Co."
"Pinkish Floyd"
"Tan and Sober Gentlemen (The Tan and Sober, Tan & Sober)"
"Band of Horses"
"Charles Latham & The Borrowed Band"
"Karma Dogs"
"Saint Disruption (St. Disruption)"
Bloodbone
"Feeling Format (Sean O'Hara)"
"Ross Osteen Band"
"Small Doses"
Electrolust
"The Business"
"Jesus is the Path to Heaven (JPH)"
"The Late Shifters"
"Sanctum Sully"
Lewendahl
"Mountain Faith"
"Different Light Band"
"Late Shifters (The Late Shifters)"
"Keturah Allgood"
"Honey music collective"
"We The Kingdom"
"Derek McKoy"
"Saddletramp (Blake Ellege, Saddle Tramp)"
"Dasher Band"
"The Project"
"Syren xo"
"The Core"
"Mile High Band (The Mile High Band)"
"Ben Balmer"
"Shane Meade & the Sound"
Zillicoah
"Kings of Prussia (The Kings of Prussia)"
"Father Figures"
"Homeschool Tap"
"Wilder Flower (The Wilder Flower)"
"The Lumpy Heads"
"Altamont Jazz Project (The Altamont Jazz Project, AJP)"
"Eric Travers Band (The Eric Travers Band)"
"Carolina Road Band (Lorraine Jordan, The Carolina Road Band)"
Serrate
"Bearded Bards"
"Bad Fidelity"
"The Pleasure Chest"
"Sun Sippers (The Sun Sippers)"
"MGB (The MGB, MGBs)"
"Jason Michael Kates"
"Above Ground"
soupboys
Dished
"Molazzes Jangles"
Strawhouse
Parmalee
"Paper Pills"
"Cast Iron Bluegrass"
"Industrial Coffee Pot"
"Para Gozar"
"Pink Death"
"Widespread Panic"
"License 2 Chill (License to Chill)"
"Shadow Person"
"River Kane"
"Uncle Kurtis"
"Impending Joy"
"Eggshell Emily"
"Rocky Doon Celtic Trio"
"Cesar J.C. & Co."
"Sourwood Ridge"
"Southern Ground"
"The Dirty French Broads"
Toadhand
"Sweet Fiend"
"Suns of Stars"
McKinney
"The Hillclimbers"
"The Trtmnt"
Spiritwalker
"Nelson's Blood"
"Jeff Sipe Trio (The Jeff Sipe Trio)"
"Indoor Condor (Ben Underwood)"
"The Hypos"
"The Fuzzy Peppers"
"TWINZ (Jack & Jim Mascari"
"Amanda Neill & the Blue Roses"
"Harsh Realm"
Dervish
"on the block"
"Indelible Sauce"
Ween
"CaroMia with Rahm & Friends"
Wiregrass
"Up Jumped Three"
"Land of the Sky Chorus"
"Wind Cults"
"Darren Bryan Band (The Darren Bryan Band)"
BomBassic
"Adrianne Blanks & The Oracles"
Exciterbox
Lucii
"Pale Horses"
"Meschiya Lake"
"Orange moon"
"Rocket #9"
"The Vinyl Brothers"
"Ben & the Borrowed Band (Ben Morgan)"
walkhome
"Systematic Devastation"
"Kreamy ‘Lectric Santa"
"Silver Travis Band (The Silver Travis Band)"
Greystoke
"Kid Dutch"
Demeler
"Hiding Places"
"Moon Water"
"Blue Rags (The Blue Rags)"
"Jacob FM"
"Whitney Monge"
"Swinging Medallions"
Sage
"Burnt Reputation"
"Waylon Redmon"
Zoohouse
"Big Fur"
"Company Swing"
"Machine 13"
Platitudes
"Bounce Hog"
"Jones Cove Band"
"Three Shades of Gray"
Necrogasm
"Hot Dog Sunrise"
"The French Broadcast"
Puppychain
"Rod Sphere"
"Issac Hadden"
"The Big Sky"
"Pagan Rage"
Places
"Possum Royale"
Designer
"The Seelie Court"
"Jesse Velvet"
"Big Hungry"
"Flash Bang Mafia"
"The Primitives"
"6 Speed"
"Blissful Thoughts"
Jackomo
"Good Goat"
"Christina Chandler"
"Moody Bridge"
"Jesus Casino"
"The Jesus Casino"
"The Grass Owls"
"Sons of Stars"
"Andy Buckner"
"Yesterday's Clothes"
"Drayton & the Dreamboats"
"New Dawn Starkestra"
"Casey Hollifield"
"The Cat Dragons"
"Government Mule"
"Elizabeth McCorvey"
"Opal String Quartet"
GÄK
"Idle County"
"The Dolltones"
"Morgan Geer"
"Sun Goblin"
"Kruger Brothers"
"Old Sap"
Hen
"We Have Ignition"
"Breakfast For Dinner"
"Awkward Ghosts"
"Jeff Hunnicutt"
Ripe
"Junior Ranger"
"Wide Open Wound"
"Tyler Ramsey"
"Crystal Bright"
"Warren Wilson College String Band"
"Jay Sanders Band"
"Yesterdays Clothes"
"Sh4rk N4tion"
"Garden Apartments"
"Heather Brown"
"Asheville Beer Choir"
"Highway 52"
"Werewolf Hours"
Yahzay
"Sean Johnson and the Wild Lotus Band"
Bam-A-Lam
Virtuous
"Holler Choir"
"Moon Bride"
"the cast iron band"
"East Ritual"
"The tall boys"
"All Blissed Out"
"David Wimbush and the Collective"
"Datrian and the Family Tree"
"The Dan Clare Collective"
Minor
"Heavy Lifters"
"Monster Wave"
"Red Echo Lab"
"Canaan Cox"
"Shed Bugs"
"Pink Mercury"
"Basement Healer"
Paprika
"The Breakfast Club"
"Bum Monk"
Grudatree
"The commador fox band"
"Scott McMicken and the Ever-Expanding"
"One leg up"
"Brother Fat"
"Isaac Hadden"
"Southern culture on the skids"
"Hellens bridge"
"Long Distance Relationship"
"Animal Prince"
Chi
"Separate Incidents"
"The Gathering Dark"
"Six Speed"
Codapen
"38 Special"
"Clarence Greenwood"
"Carpal Tullar"
"Chess king"
Sunbearer
"Chad Beatie"
"Mary Metal"
"Josh Goforth"
"Las Montañitas"
"The Barsters"
"The Accentrix"
"Holler & Crow"
"Carribean Cowboys and Steve Weams"
"Emily Hay and HayFever"
Sin&jake
"Lua Flora"
Fliora
"Double Naught Spies"
"Asheville 2nd line"
"Oliver Anthony Music"
"The Emberd"
"Congden Griffin  Band"
"Slim Pickins"
"Unpaid Bill and the Bad checks"
"Gypsy River"
"Anne Coombs Company"
"40, 20,10s"
"Mr Jimmy and Friends"
"Biltmore Church Worship"
"The Corey Bowers Band"
"Clouds of Delusion"
"Lavender Blue"
"Mission Accomplishd"
Jacoozy
"The Shed Bugs"
"Jeff Thomson"
"Lady Pop"
"Lost Torpedo"
"The Hi Helens"
"Laurel Canyon East"
Starseer
Honeydippers
Urocyon
"Kevin Rumley"
"The Coors"
"Dave Desmelik"
"Twenty One Pilots"
Yawni
"Nick and Brew"
"Conflict of Interest"
40-20-10s
"Saints & Sinners"
Robeone
"Asheville 2nd linek"
"Brass Strikes Back"
Snozberries
"Steep Canyon Rangers i"
"Ashley heath"
"M.J. Lenderman"
"Treasure Chest"
"JL Mash Up"
"Lazr luvr"
"Scott Mcmicken and the ever expanding"
"Issac Hadden organ trio"
